doctor_id,name,department,is_surgeon,experience_years
DOC_088,"Edgar Ayala DDS","Emergency Medicine",1,10
DOC_089,"Johnathan Garcia",Nephrology,0,19
DOC_090,"Patty Jones",Orthopedics,1,28
DOC_091,"Charles Watson",Orthopedics,0,17
DOC_092,"David Richardson",Nephrology,0,28
DOC_093,"Margaret Murphy","General Surgery",1,19
DOC_094,"Isaiah Johnson","General Surgery",0,23
DOC_095,"Angela Rowland",Endocrinology,1,20
DOC_096,"Luke Marks",Orthopedics,0,13
DOC_097,"Brandon Castro",Neurology,1,13
DOC_098,"Tracey Ellis","General Surgery",0,11
DOC_099,"James Glenn",Pulmonology,1,15
DOC_100,"Travis Freeman",Neurology,1,17
DOC_101,"Amy Jones",Oncology,1,28
DOC_102,"Brandy Charles",Pediatrics,1,19
DOC_103,"Michael Wallace","General Surgery",1,4
DOC_104,"Rebecca Greene",Neurology,0,22
DOC_105,"Jennifer Beltran",Pediatrics,0,22
DOC_106,"Lisa Arellano","Emergency Medicine",0,34
DOC_107,"Lori Smith",Oncology,0,33
DOC_108,"Lisa Kelly",Pulmonology,1,33
DOC_109,"Christopher Patterson",Pediatrics,1,12
DOC_110,"Brian King",Endocrinology,1,2
DOC_111,"Lisa Blankenship",Endocrinology,0,28
DOC_112,"Alexis Alvarado",Neurology,1,10
DOC_113,"Theresa Delgado",Pulmonology,0,22
DOC_114,"Lisa Reed","Emergency Medicine",1,17
DOC_115,"Kyle Guzman",Orthopedics,1,26
DOC_116,"Bruce Richardson","General Surgery",0,3
DOC_117,"Kyle Mayer",Orthopedics,0,7
DOC_118,"Sheri Garcia",Cardiology,1,8
DOC_119,"Victoria Hall","Emergency Medicine",1,20
DOC_120,"Rose Rogers",Oncology,0,12
DOC_121,"Cynthia Smith","General Surgery",1,17
DOC_122,"Anthony Martinez",Pediatrics,1,28
DOC_123,"Terri Brown",Orthopedics,1,10
DOC_124,"Michael Jackson",Oncology,1,22
DOC_125,"Mary Rowland","Emergency Medicine",1,33
DOC_126,"Tami Richardson",Nephrology,1,22
DOC_127,"Jonathan Williams","Emergency Medicine",1,13
DOC_128,"Kyle Hughes",Cardiology,0,27
DOC_129,"Curtis Trevino",Pediatrics,1,15
DOC_130,"Richard Escobar",Endocrinology,0,22
DOC_131,"Christina Bradley",Endocrinology,1,30
DOC_132,"Hector Anderson",Pediatrics,1,34
DOC_133,"Cassie Lewis",Nephrology,0,34
DOC_134,"Kevin Turner",Neurology,0,19
DOC_135,"Victoria Cruz",Pulmonology,1,8
DOC_136,"Holly Weber",Neurology,1,33
DOC_137,"Thomas Adams",Oncology,0,28
DOC_138,"Shannon Mccormick","Emergency Medicine",1,25
DOC_139,"Robert Soto",Orthopedics,0,17
DOC_140,"Janet Grant",Pediatrics,1,24
DOC_141,"Marcus Williams","Emergency Medicine",0,21
DOC_142,"Michael Giles",Neurology,0,2
DOC_143,"Stacey Ellis",Pediatrics,1,31
DOC_144,"Kirsten Stafford DVM",Oncology,0,33
DOC_145,"Hunter Young",Nephrology,0,30
DOC_146,"Anthony Dean",Neurology,0,12
DOC_147,"Mr. Joseph Carter",Neurology,0,12
DOC_148,"Robert Schroeder",Neurology,0,24
DOC_149,"Marilyn Allen","Emergency Medicine",0,24
DOC_150,"Lisa Wade","Emergency Medicine",1,11
DOC_151,"Sonya Harding",Oncology,1,13
DOC_152,"Ann Jones",Neurology,1,27
DOC_153,"Beverly Patterson","Emergency Medicine",1,8
DOC_154,"Dillon Greer","Emergency Medicine",0,10
DOC_155,"Tracy Foley",Nephrology,0,8
DOC_156,"Anthony Anderson",Orthopedics,1,20
DOC_157,"Brian Gilbert",Orthopedics,0,8
DOC_158,"Thomas Cummings",Cardiology,0,9
DOC_159,"Erica Rodriguez",Pediatrics,1,7
DOC_160,"Joshua Lopez",Neurology,0,14
DOC_161,"Valerie Schmidt",Neurology,0,28
DOC_162,"Eric Cooper",Pulmonology,0,2
DOC_163,"Alison Gill",Orthopedics,1,8
DOC_164,"Edward Farrell","General Surgery",1,13
DOC_165,"Brandon Clark",Pediatrics,1,21
DOC_166,"Philip Clements",Neurology,0,28
DOC_167,"Alvin Kennedy",Pulmonology,1,23
DOC_168,"Neil Peterson","Emergency Medicine",1,15
DOC_169,"Richard Turner",Orthopedics,0,2
DOC_170,"John Burton",Orthopedics,0,12
DOC_171,"Henry Orr",Pulmonology,0,3
DOC_172,"Darren Simmons","Emergency Medicine",0,5
DOC_173,"David Holt DDS",Orthopedics,1,3
DOC_174,"Michael Nguyen",Orthopedics,1,19
DOC_175,"Cole Mejia",Neurology,0,2
DOC_176,"Jill Miles",Orthopedics,0,17
DOC_177,"Jacob Castro",Endocrinology,0,14
DOC_178,"Robert Ramirez",Pediatrics,1,28
DOC_179,"Jennifer Moore",Cardiology,0,27
DOC_180,"Nicholas Lane",Cardiology,1,10
